# Sample astronomical data for Lorentzian fitting
# Columns: Wavelength (Angstrom), Flux, Error
# This data contains two Lorentzian components plus baseline
6560.0, 0.95, 0.08
6560.5, 1.02, 0.09
6561.0, 1.15, 0.10
6561.5, 1.28, 0.11
6562.0, 1.45, 0.12
6562.5, 1.67, 0.13
6563.0, 1.89, 0.14
6563.5, 2.23, 0.15
6564.0, 2.67, 0.16
6564.5, 3.24, 0.18
6565.0, 3.89, 0.20
6565.5, 4.67, 0.22
6566.0, 5.45, 0.24
6566.5, 6.23, 0.26
6567.0, 6.89, 0.28
6567.5, 7.34, 0.30
6568.0, 7.56, 0.31
6568.5, 7.45, 0.30
6569.0, 7.12, 0.29
6569.5, 6.67, 0.28
6570.0, 6.15, 0.26
6570.5, 5.67, 0.24
6571.0, 5.23, 0.22
6571.5, 4.89, 0.21
6572.0, 4.67, 0.20
6572.5, 4.56, 0.19
6573.0, 4.67, 0.20
6573.5, 4.89, 0.21
6574.0, 5.23, 0.22
6574.5, 5.67, 0.24
6575.0, 6.15, 0.26
6575.5, 6.67, 0.28
6576.0, 7.12, 0.29
6576.5, 7.45, 0.30
6577.0, 7.56, 0.31
6577.5, 7.34, 0.30
6578.0, 6.89, 0.28
6578.5, 6.23, 0.26
6579.0, 5.45, 0.24
6579.5, 4.67, 0.22
6580.0, 3.89, 0.20
6580.5, 3.24, 0.18
6581.0, 2.67, 0.16
6581.5, 2.23, 0.15
6582.0, 1.89, 0.14
6582.5, 1.67, 0.13
6583.0, 1.45, 0.12
6583.5, 1.28, 0.11
6584.0, 1.15, 0.10
6584.5, 1.02, 0.09
6585.0, 0.95, 0.08
6585.5, 0.89, 0.08
6586.0, 0.85, 0.07
6586.5, 0.82, 0.07
6587.0, 0.79, 0.07
6587.5, 0.78, 0.07
6588.0, 0.77, 0.07
6588.5, 0.76, 0.07
6589.0, 0.75, 0.07
6589.5, 0.76, 0.07
6590.0, 0.78, 0.07
6590.5, 0.81, 0.07
6591.0, 0.85, 0.08
6591.5, 0.91, 0.08
6592.0, 0.98, 0.09
6592.5, 1.07, 0.09
6593.0, 1.18, 0.10
6593.5, 1.32, 0.11
6594.0, 1.48, 0.12
6594.5, 1.67, 0.13
6595.0, 1.89, 0.14
6595.5, 2.15, 0.15
6596.0, 2.45, 0.16
6596.5, 2.78, 0.17
6597.0, 3.15, 0.18
6597.5, 3.56, 0.19
6598.0, 4.02, 0.20
6598.5, 4.52, 0.21
6599.0, 5.07, 0.22
6599.5, 5.67, 0.24
6600.0, 6.32, 0.25
6600.5, 7.02, 0.28
6601.0, 7.78, 0.31
6601.5, 8.59, 0.34
6602.0, 9.45, 0.38
6602.5, 10.37, 0.41
6603.0, 11.34, 0.45
6603.5, 12.37, 0.49
6604.0, 13.45, 0.54
6604.5, 14.59, 0.58
6605.0, 15.78, 0.63
6605.5, 17.02, 0.68
6606.0, 18.32, 0.73
6606.5, 19.67, 0.79
6607.0, 21.07, 0.84
6607.5, 22.52, 0.90
6608.0, 24.02, 0.96
6608.5, 25.57, 1.02
6609.0, 27.17, 1.09
6609.5, 28.82, 1.15
6610.0, 30.52, 1.22
